Wavelength,DY415,DY490,AT520,AT550,TRX,AT620,AT655
479.4,0.85201391,0.0114,0,0,0,0,0
479.5,0.85068296,0.0117,0,0,0,0,0
479.6,0.84935202,0.0119,0,0,0,0,0
479.7,0.84802107,0.0122,0,0,0,0,0
479.8,0.84669013,0.0124,0,0,0,0,0
479.9,0.84535918,0.0127,0,0,0,0,0
480,0.84402824,0.0129,0,0,0,0,0
480.1,0.84269729,0.0132,0,0,0,0,0
480.2,0.84136635,0.0136,0,0,0,0,0
480.3,0.8400354,0.0139,0,0,0,0,0
480.4,0.83870446,0.0142,0,0,0,0,0
480.5,0.83737351,0.0145,0,0,0,0,0
480.6,0.83604257,0.0148,0,0,0,0,0
480.7,0.83471162,0.0151,0,0,0,0,0
480.8,0.83338068,0.0155,0,0,0,0,0
480.9,0.83204973,0.0158,0,0,0,0,0
481,0.83071879,0.0161,0,0,0,0,0
481.1,0.82938784,0.0165,0,0,0,0,0
481.2,0.8280569,0.0169,0,0,0,0,0
481.3,0.82672595,0.0173,0,0,0,0,0
481.4,0.82539501,0.0176,0,0,0,0,0
481.5,0.82406406,0.018,0,0,0,0,0
481.6,0.82273312,0.0184,0,0,0,0,0
